,Player,Team,Elig. Pos.,Pos. Rank,Status,,,
335,Andrés Giménez,TOR,2B,2B33,,,,
336,Reynaldo López,ATL,SP,SP141,,,,
337,Ramón Laureano,SD,OF,OF56,,,,
338,Jack Dreyer,LAD,SP,SP142,,,,
339,Mike Yastrzemski,SF,OF,OF57,,,,
340,Chase DeLauter,CLE,OF,OF58,,,,
341,Brandon Pfaadt,ARI,SP,SP143,,,,
342,Sean Manaea,NYM,SP,SP144,,,,
343,Emmanuel Clase,CLE,SP,SP145,,,,
344,Brandon Marsh,PHI,OF,OF59,,,,
345,Braxton Ashcraft,PIT,SP,SP146,,,,
346,Nick Castellanos,PHI,OF,OF60,,,,
347,Nick Martinez,CIN,SP,SP147,,,,
348,Tyler Stephenson,CIN,C,C26,,,,
349,Evan Carter,TEX,OF,OF61,,,,
350,Liam Hicks,MIA,C/1B,C27,,,,
351,Pablo López,MIN,SP,SP148,,,,
352,Colton Cowser,BAL,OF,OF62,,,,
353,Fernando Cruz,NYY,SP,SP149,,,,
354,Jake Burger,TEX,1B,1B29,,,,
355,José Alvarado,PHI,SP,SP150,,,,
356,Louis Varland,TOR,SP,SP151,,,,
357,Jared Triolo,PIT,SS,SS26,,,,
358,Ryan Weathers,MIA,SP,SP152,,,,
359,Brooks Raley,NYM,SP,SP153,,,,
360,Nolan Gorman,STL,2B,2B34,,,,
361,Ke'Bryan Hayes,PIT,3B,3B25,,,,
362,Clayton Kershaw,LAD,SP,SP154,,,,
363,Miguel Andujar,OAK,OF,OF63,,,,
364,Freddy Fermin,SD,C,C28,,,,
365,Kevin Ginkel,ARI,SP,SP155,,,,
366,Cedric Mullins,BAL,OF,OF64,,,,
367,Justin Slaten,BOS,SP,SP156,,,,
368,Gabe Speier,SEA,SP,SP157,,,,
369,Jonah Tong,NYM,SP,SP158,,,,
370,Johan Oviedo,PIT,SP,SP159,,,,
371,Max Meyer,MIA,SP,SP160,,,,
372,Max Scherzer,TOR,SP,SP161,,,,
373,Michael Soroka,CHC,SP,SP162,,,,
374,Payton Tolle,BOS,SP,SP163,,,,
375,Josh Jung,TEX,3B,3B26,,,,
376,Hurston Waldrep,ATL,SP,SP164,,,,
377,Davis Schneider,TOR,OF,OF65,,,,
378,Sean Murphy,ATL,C,C29,,,,
379,Dalton Rushing,LAD,C,C30,,,,
380,Kirby Yates,LAD,SP,SP165,,,,
381,Lucas Erceg,KC,SP,SP166,,,,
382,Nolan Schanuel,LAA,1B,1B30,,,,
383,Josh Bell,WSH,1B,1B31,,,,
384,Chase Meidroth,CWS,2B/SS,2B35,,,,
385,Jesús Sánchez,MIA,OF,OF66,,,,
386,Lars Nootbaar,STL,OF,OF67,,,,
387,Zach Eflin,BAL,SP,SP167,,,,
388,Grant Holmes,ATL,SP,SP168,,,,
389,Ben Casparius,LAD,SP,SP169,,,,
390,Ben Joyce,LAA,SP,SP170,,,,
391,Will Warren,NYY,SP,SP171,,,,
392,Christian Moore,LAA,2B,2B36,,,,
