Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Triston McKenzie","SDP",0.960109,1.47221,0.222019,5.06879,10.863,2.753,0,0.6673,,22.8516,100.307,20.6138,13.73,12.87,4.12065,11.7897,0.432069,0.879585,18.9499,7.46335,4.64331,1.60733,1.6229,0.18892,0.117536,0.0713837742805481,0.235217,1.418,0.255443,0.701099,,,5.48405,-0.0243759,-0.0485597,999,,,,,,,69.4,3.0173913043478264,66,2.869565217391304,,,,,,,,,,,,,,,,,,,"Triston McKenzie","18000",663474
"John Brebbia","COL",0.560288,0.660484,0,5.48365,12.911,0.059,0,0.6077,,13.212,58.4846,14.3453,8.61,8.05,2.28276,4.68993,0.281619,0.499001,11.3558,7.73554,3.19478,2.42131,1.55502,0.194167,0.080191,0.11397602409124374,0.269165,1.44076,0.304172,0.658186,,,4.8405,-0.0259659,-0.222184,999,,,,,,,46.199999999999996,3.5538461538461537,50,3.8461538461538463,,,,,,,,,,,,,,,,,,,"John Brebbia","12777",605154
"Kevin Herget","NYM",0.224153,0.189081,0,5.46479,4.887,0,0,0,,7.9875,35.1285,8.62134,5.19,4.85,1.54496,2.69312,0.183038,0.236836,6.23074,7.02055,3.0345,2.31358,1.7408,0.17737,0.0766648,0.10070529580116272,0.267756,1.41652,0.289745,0.669229,,,5.18995,-0.030372,-0.082382,999,,,,,,,14.200000000000003,1.7750000000000004,17,2.125,,,,,,,,,,,,,,,,,,,"Kevin Herget","15369",643361
"Yunior Marte","CIN",0.314062,0.312389,0,5.30992,8.34,0,0,0.6505,,8.6781,38.6688,9.11857,5.46,5.12,1.29274,3.80858,0.19059,0.460139,6.87364,7.12861,3.94986,1.80478,1.34069,0.177757,0.0984923,0.07926440238952637,0.265074,1.48963,0.298312,0.671669,,,4.96324,-0.0330013,-0.0301972,999,,,,,,,36.90000000000001,4.100000000000001,38,4.222222222222222,,,,,,,,,,,,,,,,,,,"Yunior Marte","14416",628708
"Michael Tonkin","MIN",1.37765,1.79186,0,5.03001,26.062,0,0,0,,28.324,123.839,27.9601,16.95,15.83,4.77267,10.7094,0.533461,1.98775,26.7653,8.50473,3.40294,2.49923,1.51652,0.21613,0.0864789,0.12965147197246552,0.251572,1.36526,0.291286,0.678994,,,4.78058,-0.0341499,-0.239836,999,,,,,,,87.90000000000005,3.139285714285716,90,3.2142857142857144,,,,,,,,,,,,,,,,,,,"Michael Tonkin","10315",543859
"Jackson Rutledge","WSN",1.76827,1.80788,0,4.86017,52.322,0.089,1,11.2844,,59.8683,265.301,59.6134,34.67,32.33,7.93602,25.941,1.54722,4.76243,49.9236,7.50501,3.89972,1.9245,1.19302,0.188177,0.0977797,0.09039745479822159,0.254109,1.42904,0.292395,0.683526,,,4.72916,-0.0365014,-0.36977,999,,,,,,,245.60000000000002,4.093333333333334,252,4.2,,,,,,,,,,,,,,,,,,,"Jackson Rutledge","26215",671131
"Luke Jackson",,2.25986,2.81513,0,4.81009,42.688,0,1,0,,44.4004,196.568,44.2668,25.44,23.73,5.15973,20.8615,1.2673,2.43572,37.5121,7.60374,4.22865,1.79815,1.04588,0.190836,0.106129,0.084706611931324,0.255478,1.46684,0.299444,0.685408,,,4.53026,-0.0386095,-0.204038,999,,,,,,,161.70000000000002,3.6750000000000003,167,3.7954545454545454,,,,,,,,,,,,,,,,,,,"Luke Jackson","11752",592426
"Tejay Antone","CIN",0.410779,0.429773,0,5.47173,11.262,0,0,0.6505,,11.7111,52.9145,12.5074,7.6,7.12,1.81255,5.60557,0.311698,0.702507,10.911,8.38511,4.30789,1.94645,1.39295,0.2062,0.105936,0.100263811647892,0.268363,1.54665,0.315643,0.674974,,,4.89974,-0.0396161,-0.174227,999,,,,,,,35.40000000000002,2.9500000000000015,39,3.25,,,,,,,,,,,,,,,,,,,"Tejay Antone","16233",622088
"Jorge López",,1.40033,1.79454,0,4.93026,26.642,0,0,0,,27.4732,120.933,28.5454,16.1,15.05,3.78712,10.4138,0.73013,1.95481,22.2217,7.27964,3.41148,2.13387,1.24063,0.183752,0.0861124,0.0976400077342987,0.262936,1.41808,0.299899,0.679176,,,4.66008,-0.0412785,-0.191853,999,,,,,,,83.20000000000002,3.081481481481482,91,3.3703703703703702,,,,,,,,,,,,,,,,,,,"Jorge Lopez","14527",605347
"Casey Lawrence","SEA",0.385326,0.652601,0.445641,6.13375,1.695,1.397,0,0,,7.9087,35.2172,9.34458,5.72,5.39,1.70677,2.38999,0.0536569,0.321906,4.02163,4.57657,2.71977,1.6827,1.94229,0.114195,0.0678642,0.04633096605539322,0.287478,1.48375,0.285238,0.643607,,,5.95235,-0.0417252,-0.105147,999,,,,,,,13.200000000000003,1.6500000000000004,16,2,,,,,,,,,,,,,,,,,,,"Casey Lawrence","11121",596271
"Victor Mederos","LAA",0.75901,0.987352,0,5.14194,20.034,0.583,0,0.6278,,26.4297,118.527,26.2455,16.09,15.1,3.57526,13.3142,0.826348,1.91325,22.1003,7.52573,4.53383,1.65991,1.21747,0.186457,0.11233,0.07412730902433395,0.25407,1.49679,0.29205,0.679211,,,4.94977,-0.0425303,-0.189495,999,,,,,,,78.6,3.023076923076923,81,3.1153846153846154,,,,,,,,,,,,,,,,,,,"Victor Mederos","31533",682989
"Kolby Allard","CLE",0.812029,0.985632,0,5.11347,22.868,0.228,0,0.6803,,27.2281,118.812,28.6773,16.55,15.47,4.63751,8.69985,0.868677,1.27607,21.95,7.25538,2.87566,2.52303,1.53289,0.184746,0.0732236,0.11152210086584091,0.263491,1.37274,0.292282,0.674353,,,4.83615,-0.0433668,-0.29188,999,,,,,,,80.9,2.9962962962962965,88,3.259259259259259,,,,,,,,,,,,,,,,,,,"Kolby Allard","18694",663465
"Tommy Kahnle",,2.90198,3.34709,0,4.50067,52.858,0,1,0,,52.7921,230.465,49.7936,28.25,26.4,6.67124,24.0305,1.00649,2.82054,44.8675,7.64902,4.09672,1.86711,1.13731,0.194683,0.10427,0.09041306376457214,0.244549,1.39839,0.28356,0.706746,,,4.604,-0.0466161,-0.0311002,999,,,,,,,190.10000000000002,3.5867924528301893,188,3.547169811320755,,,,,,,,,,,,,,,,,,,"Tommy Kahnle","11384",592454
"Kyle Keller","BOS",1.20952,1.01958,0,4.99946,25.515,0,0,0.6709,,26.7329,118.464,24.3914,15.93,14.85,4.41278,13.8348,0.794114,1.62113,28.6355,9.64052,4.65768,2.06981,1.48562,0.241724,0.116785,0.12493827939033508,0.236792,1.42993,0.285574,0.695706,,,4.87319,-0.0475981,-0.191787,999,,,,,,,102.20000000000002,3.7851851851851857,97,3.5925925925925926,,,,,,,,,,,,,,,,,,,"Kyle Keller","18890",664918
"Thomas Hatch","ARI",0.161598,0.231009,0,5.53782,4.357,0.19,0,0,,10.4012,46.5995,11.4323,6.85,6.4,1.59308,4.34126,0.381196,0.539194,7.42558,6.42524,3.75642,1.71047,1.37847,0.159349,0.0931611,0.06618788838386536,0.274031,1.51651,0.300891,0.658894,,,5.10608,-0.0492199,-0.174161,999,,,,,,,19.799999999999997,1.9799999999999998,23,2.3,,,,,,,,,,,,,,,,,,,"Thomas Hatch","19264",641672
"Kaleb Ort","LAA",1.07577,1.05276,0,4.88006,28.264,0,0,0.6278,,29.1021,127.504,26.7729,16.85,15.78,4.63654,14.0713,0.901189,1.12493,26.6394,8.23841,4.35162,1.89318,1.43388,0.208931,0.11036,0.09857094287872314,0.238389,1.40348,0.273182,0.698459,,,4.94204,-0.0500802,-0.187313,999,,,,,,,95.90000000000002,3.3068965517241384,93,3.206896551724138,,,,,,,,,,,,,,,,,,,"Kaleb Ort","20061",672391
"Kevin Abel","CIN",0.264474,0.267047,0,5.47363,7.026,0,0,0,,7.3169,33.3028,7.11009,4.73,4.45,1.17317,4.45425,0.217451,0.430215,6.90855,8.49772,5.47885,1.551,1.44304,0.207447,0.13375,0.07369665801525116,0.250194,1.5805,0.291932,0.688813,,,5.33382,-0.0545722,-0.134902,999,,,,,,,23.300000000000015,3.3285714285714305,24,3.4285714285714284,,,,,,,,,,,,,,,,,,,"Kevin Abel","sa3017879",674265
"Alexis Díaz","TEX",2.66427,2.16617,0,4.72012,56.978,0,4,11.1769,,59.4328,260.058,48.9845,33.13,31.17,8.52925,30.5772,1.23632,6.37909,59.1074,8.95073,4.63035,1.93306,1.2916,0.227286,0.117579,0.10970732569694519,0.219562,1.33868,0.260222,0.686649,,,4.87718,-0.0554525,-0.220615,605.1799926757812,,,,,,,269.5,4.567796610169491,249,4.220338983050848,,,,,,,,,,,,,,,,,,,"Alexis Diaz","21132",664747
"Andry Lara","WSN",0.819207,0.840622,0,5.01008,24.55,0,0,0,,35.9276,158.817,37.9283,21.44,20,4.76,14.7217,1.10566,1.26881,25.5062,6.3894,3.68785,1.73256,1.1924,0.160602,0.0926964,0.06790539622306824,0.265556,1.46545,0.294672,0.678685,,,4.77285,-0.0572752,-0.221333,999,,,,,,,110.10000000000004,3.0583333333333345,119,3.3055555555555554,,,,,,,,,,,,,,,,,,,"Andry Lara","27967",691251
